snr,max_p_mean,max_p_std,mean_p_mean,mean_p_std,entropy_mean,entropy_std,normalized_entropy_mean,normalized_entropy_std,h1_bar_count_mean,h1_bar_count_std
-5,0.3219682769410605,0.051776932572898546,0.08600268438880884,0.006852712305736855,4.346134390203736,0.08916596312836189,0.9285824011683307,0.0075299712998381455,108.15,8.760488219623028
0,0.32437071606910456,0.056293407232114304,0.08091937944871755,0.005649433076224087,4.287286394115465,0.07816676640608418,0.9277117420400725,0.008816544935702957,101.8,6.235547392334636
5,0.2804790208596063,0.07470793667101641,0.06547226460857261,0.008364707706264586,4.04657182097841,0.09526095738688646,0.9205996544641891,0.009665754426121845,81.4,7.274119913283015
10,0.3275094319709661,0.0985941296275123,0.04864363372369117,0.005833667818076145,3.5998726016800617,0.17483813920095093,0.877118022766757,0.027258875416992578,60.85,6.4352793655614144
15,0.40399029215639776,0.12167893392849308,0.04192619213326364,0.008279801808902924,3.01040663148789,0.21996053719950615,0.7823464045543508,0.0478128855245612,47.25,6.335694566582707
20,0.47294680842710884,0.054802132015965864,0.04871793846556887,0.009640699528134707,2.255300130450328,0.17506084324956256,0.6303686268318025,0.036468146535953115,36.1,5.324351411084542
25,0.489518498684175,0.05527675474963022,0.05776249183317128,0.019212455518165337,1.8194235760318764,0.19576467331092257,0.5356055445957899,0.04298263592064071,30.275,5.363635869779916
30,0.4840752601886299,0.03590546209764815,0.06458639432027416,0.023312452227853928,1.4243216952460194,0.21661569621102286,0.455159387257814,0.063021317175932,23.225,4.486375385828086
