seed,trial,snr,normalization_mode,tau,symbols,max_points,max_persistence,mean_persistence,persistence_entropy,normalized_entropy,h1_bar_count
0,0,30,shape_normalized,15,1000,200,0.47548842795823465,0.08763348097120299,1.8134181285204787,0.5565882125830741,26
0,1,30,shape_normalized,15,1000,200,0.5074864820297487,0.16734800440405267,2.040249116698352,0.6810518866153216,20
0,2,30,shape_normalized,15,1000,200,0.4991139029092434,0.05845635355965255,1.092593367745404,0.38563752003976337,17
0,3,30,shape_normalized,15,1000,200,0.49507375917180263,0.04835432715849445,1.0327905851362364,0.33922909298987386,21
0,4,30,shape_normalized,15,1000,200,0.49226847341493274,0.0873624840240777,1.739230682466546,0.5626680023682396,22
0,5,30,shape_normalized,15,1000,200,0.5008756069211507,0.09029258271259168,1.6682407584711083,0.5397016649378658,22
0,6,30,shape_normalized,15,1000,200,0.48562691230209676,0.056457734044711695,1.4453578743433417,0.4436203339822007,26
0,7,30,shape_normalized,15,1000,200,0.46159997071274994,0.03700768294247966,1.0562749985407547,0.3323653578344548,24
0,8,30,shape_normalized,15,1000,200,0.5010741428799,0.0838629715615428,1.644584725923493,0.5174817085283409,24
0,9,30,shape_normalized,15,1000,200,0.493973654474543,0.1060573054653129,1.8908386284481218,0.5874220477348,25
0,0,25,shape_normalized,15,1000,200,0.02025092915923006,0.007562735080295644,2.982653880641614,0.9154590251806553,26
0,1,25,shape_normalized,15,1000,200,0.4039734129168717,0.04470263308748274,1.7923027711292832,0.5219305327603866,31
0,2,25,shape_normalized,15,1000,200,0.40622905949248644,0.030636199222658096,1.4494995116634193,0.42617329987330904,30
0,3,25,shape_normalized,15,1000,200,0.4646252603703851,0.085644330161955,1.9150302105799804,0.6107586487805062,23
0,4,25,shape_normalized,15,1000,200,0.5209155484703244,0.06776213450758123,2.1792073279603335,0.6179763279302068,34
0,5,25,shape_normalized,15,1000,200,0.4798936303721083,0.0447171452509113,1.4114979954273204,0.4566414136091124,22
0,6,25,shape_normalized,15,1000,200,0.049697036485106594,0.009595455442326444,2.9774830890043718,0.8842356713922376,29
0,7,25,shape_normalized,15,1000,200,0.5075632664823913,0.04410025059071353,1.5288870936103847,0.45882150658573995,28
0,8,25,shape_normalized,15,1000,200,0.5184221832877819,0.04056291397858459,1.5431719570759912,0.4794133234820196,25
0,9,25,shape_normalized,15,1000,200,0.4449721641425952,0.04545019909566595,1.8487584134364332,0.5242681230495193,34
0,0,20,shape_normalized,15,1000,200,0.49818086868146005,0.024506310966096373,2.6854067410752247,0.6974815043149231,47
0,1,20,shape_normalized,15,1000,200,0.44786561763771904,0.05019202443975104,2.542113867673917,0.6801333791619215,42
0,2,20,shape_normalized,15,1000,200,0.49704087882097037,0.06201555384026744,2.183875079025885,0.5961070919423535,39
0,3,20,shape_normalized,15,1000,200,0.2892081708980936,0.04240993447778054,2.3761010695360167,0.6986072264864626,30
0,4,20,shape_normalized,15,1000,200,0.4127120156805968,0.04670920343075003,2.5600101621417437,0.6612961080885228,48
0,5,20,shape_normalized,15,1000,200,0.40244314628790234,0.03945865850740078,2.187904182993694,0.6153839638634797,35
0,6,20,shape_normalized,15,1000,200,0.44125093085794775,0.0537888121235429,2.0957524510870336,0.6289387235049511,28
0,7,20,shape_normalized,15,1000,200,0.39930475268728705,0.0345433094332482,2.4501657468968023,0.6837317700774895,36
0,8,20,shape_normalized,15,1000,200,0.5221231882828217,0.06939379562471662,2.4157358682312933,0.6505154134184319,41
0,9,20,shape_normalized,15,1000,200,0.3464263133045473,0.0416054207763965,2.1610041726991693,0.6417624948348687,29
0,0,15,shape_normalized,15,1000,200,0.28530120263699366,0.04187662761105312,3.4496231204755343,0.8730474165015605,52
0,1,15,shape_normalized,15,1000,200,0.3971129254831748,0.03866931163803125,3.0041431050459244,0.7987192950758385,43
0,2,15,shape_normalized,15,1000,200,0.17388013222273413,0.03140098896787805,3.431409708788775,0.8962473508058013,46
0,3,15,shape_normalized,15,1000,200,0.531240906165626,0.04247479493787482,3.138505040811746,0.7665463893220562,60
0,4,15,shape_normalized,15,1000,200,0.39356454934793295,0.054109645195095875,3.1389504489212836,0.7869047387203446,54
0,5,15,shape_normalized,15,1000,200,0.05767543891617996,0.023663598162508518,3.312277135611265,0.9105700841627377,38
0,6,15,shape_normalized,15,1000,200,0.2851667268612821,0.04224979664374203,3.294366677468703,0.8337543599187154,52
0,7,15,shape_normalized,15,1000,200,0.44738881977347955,0.041876839221878265,3.0016592835279505,0.7885278223625914,45
0,8,15,shape_normalized,15,1000,200,0.48435738029207775,0.05985798768877357,2.784717861574579,0.740380138231778,43
0,9,15,shape_normalized,15,1000,200,0.45258727865858694,0.053589569673489504,2.916546378208641,0.7754297268149564,43
0,0,10,shape_normalized,15,1000,200,0.26301351184527977,0.04354746403745725,3.5842382147638903,0.8944198171422982,55
0,1,10,shape_normalized,15,1000,200,0.2284305302257006,0.038329867269323345,3.6342207252214043,0.8643249469560055,67
0,2,10,shape_normalized,15,1000,200,0.2678682169486615,0.04804421486751978,3.654098273484587,0.8786249096795229,64
