snr,max_p_mean,max_p_std,mean_p_mean,mean_p_std,entropy_mean,entropy_std,normalized_entropy_mean,normalized_entropy_std,h1_bar_count_mean,h1_bar_count_std
-5,0.3203533371253474,0.04526426872876287,0.08923724586316076,0.006377734165628699,4.366572727598253,0.05947026219209893,0.9331093131027351,0.007058065053402866,107.95,6.864811798268106
0,0.31510864618887713,0.05164068092137685,0.08038407280857346,0.00518524020131955,4.281603072523852,0.08105271110305241,0.9272414425989988,0.007778035099840228,101.55,7.752418977325721
5,0.3040827339569667,0.06610575786307221,0.0673574553027846,0.00617403743492138,4.063131757599767,0.08384580997478112,0.9175503806614943,0.01095641359414776,84.0,6.168572124185796
10,0.2736109962330314,0.08531597609990828,0.04780234880064613,0.0057483328210790555,3.67597757191135,0.11566409730629512,0.8928552426058269,0.023467630390351633,61.7,6.013659664805001
15,0.3692255421579274,0.13223838326580176,0.04543789959162199,0.013140157849074692,3.1031927011956557,0.24400849023606624,0.8027255232986942,0.055339897614082395,48.075,6.073851057333119
20,0.420378635730892,0.11264891901374106,0.045805882287820114,0.01574904763555807,2.4274068437712844,0.2949312068229095,0.6709873784023315,0.0731670609351008,37.75,6.542758768875124
25,0.4563990870607431,0.10716209720636433,0.0570478794632832,0.027222655694400577,1.896155360484984,0.4034699146991318,0.5611837210341,0.11047264393474553,29.425,4.6348042306455906
30,0.4934413275196502,0.02622969688599694,0.07716593141291106,0.03012845868620793,1.555173919597991,0.3628400997356561,0.49500311552141313,0.10634242967760148,23.25,4.068326689350556
