snr,max_p_mean,max_p_std,mean_p_mean,mean_p_std,entropy_mean,entropy_std
-5,0.013980477484759429,0.006177851340433294,0.0040681530944504,0.0013756272740906284,0.014185448324055131,0.012556005708708925
0,0.009751049447056324,0.008650342120354053,0.002305463460853915,0.0022321447267299355,0.020753084191169058,0.009388763184361281
5,0.03233411647871635,0.01575166115209699,0.0009969794671836666,0.00183574417369464,0.03942888946250713,0.017654938490763106
10,0.042076045822034856,0.0308904085551177,0.0015458602104347326,0.0016517181420223905,0.025187748720583866,0.04627874616818235
15,0.04277582591824411,0.037049852386411064,0.001640177720556369,0.0032412064818303217,0.045692290523107484,0.028320727322761877
20,0.03884171081042454,0.04701378341584899,0.002390389246741514,0.001425713430627691,0.03500511282855158,0.02481712554058465
25,0.039274937309115784,0.07523413956323668,0.0066619795746921335,0.0022686556277439615,0.052546667281909154,0.044357828940564975
30,0.025819670850709207,0.06887592801465345,0.006296950293105428,0.0004993466416861776,0.02877204039377703,0.06641418308116787
