snr,max_p_mean,max_p_std,mean_p_mean,mean_p_std,entropy_mean,entropy_std,normalized_entropy_mean,normalized_entropy_std,h1_bar_count_mean,h1_bar_count_std
-5,0.3229112760791192,0.04945800836949803,0.08489398427044262,0.006022701741490318,4.3385952583838625,0.07916596574983958,0.9300076825915419,0.008000351174459009,106.45,7.632420726993905
0,0.31278599810861374,0.05854734516475984,0.07656934200011714,0.0055629947518857255,4.256075243578678,0.07875425569368152,0.9263842010653291,0.007231376634449482,99.125,6.816975417746045
5,0.3703241144643195,0.09298579707941654,0.06299870333966211,0.006491355352639305,4.01292359269617,0.09611748946069298,0.9076866833515135,0.011093101446787313,83.45,6.928018179640976
10,0.6262649547004298,0.1159474531603764,0.05684521565745909,0.007938626500898159,3.3932300695543973,0.13570251690528842,0.8033041553634238,0.027506348547550567,68.475,4.987098740365365
15,0.818884795921765,0.13488101527595864,0.05786054269594041,0.010745989053847613,2.6514175373919313,0.17982970583364155,0.6557060311880055,0.03983270873154013,57.25,5.531958432830465
20,0.9707153634621368,0.09643474832566151,0.06835611711837661,0.015257031555454336,2.0555801163788763,0.13263441947544458,0.5269490434458821,0.028098126735748942,49.775,5.80224315597215
25,1.0278280197309726,0.11088274728923717,0.08007697073428745,0.020663763692286098,1.685739256197741,0.10984796775992417,0.45620618715726613,0.024935788449015048,40.675,5.867719165495926
30,1.052732931080199,0.0975251317313119,0.08374780708346757,0.022813062214900433,1.485556882265693,0.12799534761857692,0.41230414725200726,0.04019868557581008,37.275,4.862137864703612
