snr,max_p_mean,max_p_std,entropy_mean,entropy_std
-5,0.33110439073335696,0.04103472817560124,4.322308915073709,0.06662634604880122
0,0.30726995231694776,0.04915821438829559,4.2447978788015845,0.07749564518120425
5,0.35514659150210237,0.08189852366125501,4.0483808816572076,0.09385801818640144
10,0.6599915140997237,0.12361559704564733,3.3673367841554387,0.144899562145015
15,0.821478917020297,0.12135392664179917,2.669146522806873,0.1598084797532537
20,0.948462866958535,0.08778643992528684,2.0847083051228403,0.13830019731597804
25,1.0130353941865449,0.10660270591943365,1.7482553871018425,0.12224178643784639
30,1.041371682118378,0.1081568948829103,1.5234414560879042,0.10607393645121498
