seed,trial,snr,normalization_mode,tau,symbols,max_points,max_persistence,mean_persistence,persistence_entropy,normalized_entropy,h1_bar_count
0,5,20,shape_normalized,2,1000,200,1.1125729405815186,0.0677872430149751,1.9700186365416401,0.5035805346257247,50
0,6,20,shape_normalized,2,1000,200,0.924526263321778,0.08063103096689579,2.0131550907277243,0.5228773800343586,47
0,7,20,shape_normalized,2,1000,200,0.7506386901892834,0.054701403106802306,2.1451783683036463,0.5483552538742983,50
0,8,20,shape_normalized,2,1000,200,1.0526721632946883,0.07009631942044123,1.9095081587326956,0.48094905873666755,53
0,9,20,shape_normalized,2,1000,200,0.9931241753895251,0.0770784753365067,2.084781838653555,0.5329165589672674,50
0,0,15,shape_normalized,2,1000,200,0.8353570614919907,0.04871318422560044,2.860252413617877,0.6802524399588986,67
0,1,15,shape_normalized,2,1000,200,0.9025182616104079,0.06514288665739303,2.541321207571553,0.6341676846179506,55
0,2,15,shape_normalized,2,1000,200,0.6141380349419465,0.05519650637720177,2.853953636853439,0.7121827671755916,55
0,3,15,shape_normalized,2,1000,200,0.6052951205806869,0.047243858674233974,2.8772668783501585,0.7393113396697668,49
0,4,15,shape_normalized,2,1000,200,0.8660588208564735,0.06153976988447869,2.567525013782122,0.6296753982282959,59
0,5,15,shape_normalized,2,1000,200,0.954881336757933,0.06745620857891282,2.3666477176520995,0.5989627282474419,52
0,6,15,shape_normalized,2,1000,200,0.8188719696416826,0.052446392624076535,2.618876907823908,0.6477476376960644,57
0,7,15,shape_normalized,2,1000,200,0.8759333314921591,0.07135401710512841,2.379037441148084,0.605071959790768,51
0,8,15,shape_normalized,2,1000,200,0.8225549225695066,0.06912657220153838,2.5535960794340378,0.6494682923323521,51
0,9,15,shape_normalized,2,1000,200,0.5723161623532956,0.043805135032343984,2.7749780354455567,0.7130283062639694,49
0,0,10,shape_normalized,2,1000,200,0.6352651259896467,0.07458480692571715,3.3458586452176866,0.8139044776774079,61
0,1,10,shape_normalized,2,1000,200,0.7636761485163299,0.07018161758797058,3.2674654352684516,0.7743712450768186,68
0,2,10,shape_normalized,2,1000,200,0.5545117083472862,0.0617405221163807,3.3663301348457133,0.8034862875639983,66
0,3,10,shape_normalized,2,1000,200,0.7499136996084287,0.061587768909915706,3.2315807355215256,0.7799844680252709,63
0,4,10,shape_normalized,2,1000,200,0.44989632992820383,0.050706276514561735,3.5008622756469667,0.8326083717753555,67
0,5,10,shape_normalized,2,1000,200,0.49303518319486983,0.05461388459059821,3.480099647962234,0.8164112127457569,71
0,6,10,shape_normalized,2,1000,200,0.7828268437084277,0.04568061045698965,3.3783681130564305,0.7951916903705409,70
0,7,10,shape_normalized,2,1000,200,0.5198612506917404,0.0682224704245464,3.284790803532602,0.8196949571444349,55
0,8,10,shape_normalized,2,1000,200,0.4097231337765098,0.047448304011401786,3.6334285453359647,0.8581334790211116,69
0,9,10,shape_normalized,2,1000,200,0.9168386933392838,0.06376639527490638,3.3447607247924185,0.7700070329957526,77
0,0,5,shape_normalized,2,1000,200,0.18895479707129048,0.04946267612728345,4.144432295058429,0.9210239096077696,90
0,1,5,shape_normalized,2,1000,200,0.35178565939944795,0.06537830228672957,3.926812416351147,0.9040028350706858,77
0,2,5,shape_normalized,2,1000,200,0.47603079630928624,0.06894739149200163,4.057628601554463,0.9062594059114455,88
0,3,5,shape_normalized,2,1000,200,0.35747416221404427,0.05577084377484738,4.126522659010375,0.9061559539788163,95
0,4,5,shape_normalized,2,1000,200,0.31457933487655443,0.07373890803400965,4.0071689717139165,0.9170881784185707,79
0,5,5,shape_normalized,2,1000,200,0.40372402644082805,0.057405206912968104,4.017115066911708,0.9042157115175452,85
0,6,5,shape_normalized,2,1000,200,0.2619561005410852,0.05350451079523063,4.0323774468195435,0.9202083380580914,80
0,7,5,shape_normalized,2,1000,200,0.39638744462316267,0.06454317600952114,4.110184366214576,0.906805106522921,93
0,8,5,shape_normalized,2,1000,200,0.45460586092594557,0.06146871531630913,4.054978746542239,0.8967643394748355,92
0,9,5,shape_normalized,2,1000,200,0.3739002819022256,0.0589550321311053,4.261973368113086,0.9195733728847576,103
0,0,0,shape_normalized,2,1000,200,0.2843801581097687,0.07693558580726137,4.397898034098699,0.9320544847119144,112
0,1,0,shape_normalized,2,1000,200,0.319751806360829,0.08365164897772592,4.1601766930859485,0.9222580945107537,91
0,2,0,shape_normalized,2,1000,200,0.32225995875680424,0.08070414571739867,4.206404278015555,0.9134090832981936,100
0,3,0,shape_normalized,2,1000,200,0.3670799263561648,0.07183897868291556,4.266256025756124,0.9304877396847185,98
0,4,0,shape_normalized,2,1000,200,0.28021306941518853,0.07037485327212877,4.247835352021779,0.9244231903760598,99
0,5,0,shape_normalized,2,1000,200,0.3082813405186031,0.07818127187291166,4.179626081911422,0.9221256120742589,93
0,6,0,shape_normalized,2,1000,200,0.3281027416749094,0.0768825029266877,4.323073285626036,0.9289020447885235,105
0,7,0,shape_normalized,2,1000,200,0.3051550210372822,0.07860238345818879,4.275421564275509,0.9224749872394643,103
0,8,0,shape_normalized,2,1000,200,0.37167882957762854,0.07730835458332508,4.239651747426344,0.9267583826275615,97
0,9,0,shape_normalized,2,1000,200,0.3390349120127487,0.08331693463646238,4.221215287772576,0.9269498030476963,95
0,0,-5,shape_normalized,2,1000,200,0.29927636302675376,0.09096923743418145,4.452924759070055,0.9401896494813332,114
0,1,-5,shape_normalized,2,1000,200,0.3044388835704792,0.08536491847836518,4.300550639658399,0.9298542528306248,102
0,2,-5,shape_normalized,2,1000,200,0.2991792772953794,0.08167106681652994,4.3276905182613294,0.9337526593792081,103
0,3,-5,shape_normalized,2,1000,200,0.258375144941292,0.0766629317694469,4.425934092009129,0.9327707904508724,115
0,4,-5,shape_normalized,2,1000,200,0.37410873533683797,0.09300310196371053,4.169712933305959,0.9243721572977311,91
0,5,-5,shape_normalized,2,1000,200,0.3489629984335946,0.08671627834417688,4.233626640276315,0.9296752505727777,95
0,6,-5,shape_normalized,2,1000,200,0.2810681825888649,0.08669229007795794,4.228681634325143,0.9264590379475965,96
0,7,-5,shape_normalized,2,1000,200,0.29762735151749453,0.07452835482023844,4.395434482177859,0.9197156107209393,119
0,8,-5,shape_normalized,2,1000,200,0.2912871659784053,0.08636937182953348,4.209813594479022,0.9287857003113069,93
0,9,-5,shape_normalized,2,1000,200,0.3211558303579541,0.0842945032301727,4.428511666304136,0.9385424871551649,112
0,0,30,physical_scale,2,1000,200,1.0213522456232131,0.05717382114184486,1.6180936644645822,0.4302067464352949,43
0,1,30,physical_scale,2,1000,200,1.0891431678908157,0.09757604256739523,1.565597821980579,0.44035008525289526,35
0,2,30,physical_scale,2,1000,200,0.5602121141570564,0.051405328969038204,1.6863332245358111,0.4602988532531807,39
0,3,30,physical_scale,2,1000,200,1.0933738692214363,0.10634430416061441,1.5527545027896148,0.44803024417851706,32
0,4,30,physical_scale,2,1000,200,1.1066686022697856,0.09979994812089638,1.5008028068089547,0.4188069974190081,36
0,5,30,physical_scale,2,1000,200,1.0879168357595446,0.05250441681716352,1.4204209040205231,0.38002848006477685,42
0,6,30,physical_scale,2,1000,200,1.0871343413416135,0.11666914122130603,1.5360883275156938,0.43205005556395304,35
0,7,30,physical_scale,2,1000,200,1.0862033135491989,0.07734284599528944,1.6465650314630225,0.4300650964524753,46
0,8,30,physical_scale,2,1000,200,1.069555877912836,0.054490991376859164,1.6774909471970418,0.43569523060673765,47
0,9,30,physical_scale,2,1000,200,1.046501072886426,0.1049201019095425,1.4945391841816773,0.44383958512717925,29
