snr,max_p_mean,max_p_std,entropy_mean,entropy_std
-5,0.013980477484759429,0.006177851340433294,0.014185448324055131,0.012556005708708925
0,0.009751049447056324,0.008650342120354053,0.020753084191169058,0.009388763184361281
5,0.03233411647871635,0.01575166115209699,0.03942888946250713,0.017654938490763106
10,0.042076045822034856,0.0308904085551177,0.025187748720583866,0.04627874616818235
15,0.04277582591824411,0.037049852386411064,0.045692290523107484,0.028320727322761877
20,0.03884171081042454,0.04701378341584899,0.03500511282855158,0.02481712554058465
25,0.039274937309115784,0.07523413956323668,0.052546667281909154,0.044357828940564975
30,0.025819670850709207,0.06887592801465345,0.02877204039377703,0.06641418308116787
